Attrition,Age,MonthlyIncome,DistanceFromHome,Education,Department,JobRole,MaritalStatus,Gender,OverTime,JobSatisfaction,EmployeeNumber,YearsAtCompany
Yes,31,2321,9,2,Research & Development,Research Scientist,Single,Male,Yes,1,991,3
No,33,17444,17,3,Sales,Manager,Single,Male,No,3,992,10
Yes,29,2404,10,3,Research & Development,Research Scientist,Single,Female,Yes,1,994,0
No,33,3452,13,1,Research & Development,Research Scientist,Single,Female,No,4,995,3
No,45,2270,1,4,Research & Development,Laboratory Technician,Divorced,Female,No,4,996,5
No,50,17399,1,2,Research & Development,Research Director,Divorced,Male,No,4,997,5
No,33,5488,1,4,Research & Development,Healthcare Representative,Married,Female,Yes,2,998,6
No,41,19419,9,3,Research & Development,Research Director,Divorced,Male,No,3,999,18
No,27,2811,16,4,Research & Development,Laboratory Technician,Married,Female,No,2,1001,2
No,45,3633,23,2,Research & Development,Laboratory Technician,Married,Male,Yes,1,1002,9
No,47,4163,4,2,Sales,Sales Executive,Single,Female,Yes,4,1003,9
Yes,30,2132,22,3,Research & Development,Research Scientist,Married,Female,Yes,3,1004,5
No,50,13973,24,3,Research & Development,Manufacturing Director,Married,Male,Yes,3,1005,12
No,38,2684,10,1,Research & Development,Research Scientist,Married,Male,No,3,1006,2
No,46,10845,7,2,Research & Development,Manufacturing Director,Divorced,Male,No,3,1007,8
No,24,4377,17,1,Research & Development,Manufacturing Director,Divorced,Female,No,3,1009,4
Yes,35,3743,14,4,Research & Development,Laboratory Technician,Divorced,Male,Yes,2,1010,4
No,31,4148,1,1,Research & Development,Manufacturing Director,Married,Female,No,1,1011,4
No,18,1051,5,2,Research & Development,Research Scientist,Single,Male,No,4,1012,0
No,54,10739,17,3,Research & Development,Manufacturing Director,Married,Female,No,3,1013,10
No,35,10388,25,4,Research & Development,Healthcare Representative,Divorced,Female,Yes,3,1014,16
No,30,11416,8,2,Research & Development,Research Director,Married,Female,Yes,1,1015,8
Yes,20,2600,11,3,Research & Development,Research Scientist,Single,Female,Yes,1,1016,1
Yes,30,2422,5,3,Research & Development,Laboratory Technician,Single,Female,No,2,1017,3
No,26,5472,2,2,Research & Development,Manufacturing Director,Married,Male,No,4,1018,8
No,22,2451,8,1,Research & Development,Laboratory Technician,Married,Male,No,1,1019,4
No,48,4240,6,3,Research & Development,Healthcare Representative,Single,Male,No,3,1022,2
No,48,10999,4,4,Research & Development,Healthcare Representative,Single,Male,No,3,1024,15
No,41,5003,7,2,Research & Development,Manufacturing Director,Single,Female,No,3,1025,2
No,39,12742,1,1,Research & Development,Manufacturing Director,Married,Female,No,4,1026,21
No,27,4227,2,4,Research & Development,Manufacturing Director,Married,Female,No,4,1027,3
No,35,3917,10,3,Research & Development,Laboratory Technician,Divorced,Male,No,4,1028,3
No,42,18303,5,2,Sales,Manager,Married,Male,No,3,1029,1
No,50,2380,9,3,Research & Development,Laboratory Technician,Married,Male,No,4,1030,1
No,59,13726,2,3,Research & Development,Manufacturing Director,Single,Female,Yes,4,1032,5
Yes,37,4777,11,2,Research & Development,Healthcare Representative,Married,Female,No,2,1033,1
No,55,6385,18,4,Research & Development,Healthcare Representative,Married,Male,Yes,2,1034,8
No,41,19973,7,1,Research & Development,Research Director,Divorced,Female,No,3,1035,21
No,38,6861,3,4,Sales,Sales Executive,Single,Male,Yes,4,1036,1
Yes,26,4969,29,2,Sales,Sales Executive,Single,Male,No,1,1037,2
Yes,52,19845,2,1,Sales,Manager,Married,Female,No,4,1038,32
No,44,13320,28,3,Sales,Sales Executive,Married,Female,Yes,4,1039,12
No,50,6347,1,3,Sales,Sales Executive,Married,Female,No,3,1040,18
Yes,36,2743,16,4,Research & Development,Laboratory Technician,Single,Female,No,1,1042,17
No,39,10880,22,3,Research & Development,Manufacturing Director,Single,Female,Yes,1,1043,21
No,33,2342,8,1,Sales,Sales Representative,Single,Female,No,4,1044,2
No,45,17650,11,2,Sales,Manager,Married,Female,No,4,1045,9
No,32,4025,29,4,Research & Development,Laboratory Technician,Single,Female,No,3,1046,8
No,34,9725,1,4,Sales,Sales Executive,Divorced,Male,No,4,1047,15
No,59,11904,1,2,Sales,Manager,Married,Male,Yes,4,1048,6
No,45,2177,24,4,Human Resources,Human Resources,Single,Male,No,2,1049,6
No,53,7525,2,3,Sales,Sales Executive,Married,Female,No,2,1050,15
Yes,36,4834,15,3,Research & Development,Laboratory Technician,Divorced,Male,No,3,1052,1
Yes,26,2042,2,3,Research & Development,Research Scientist,Married,Male,Yes,1,1053,3
No,34,2220,10,4,Sales,Sales Representative,Married,Female,Yes,3,1055,1
No,28,1052,10,1,Sales,Sales Representative,Married,Male,No,2,1056,1
No,38,2821,3,4,Research & Development,Research Scientist,Married,Male,No,3,1060,2
No,50,19237,2,4,Research & Development,Research Director,Married,Male,Yes,3,1061,8
No,37,4107,3,3,Research & Development,Healthcare Representative,Single,Female,No,2,1062,4
No,40,8396,26,3,Sales,Sales Executive,Married,Male,No,1,1066,7
No,26,2007,1,1,Research & Development,Research Scientist,Divorced,Female,No,3,1068,5
No,46,19627,1,4,Research & Development,Research Director,Divorced,Male,No,4,1069,2
No,54,10686,2,4,Sales,Sales Executive,Married,Female,No,3,1070,9
No,56,2942,9,3,Research & Development,Research Scientist,Married,Female,No,3,1071,5
No,36,8858,12,5,Research & Development,Manufacturing Director,Single,Female,No,4,1073,14
No,55,16756,2,1,Research & Development,Manager,Single,Male,No,1,1074,9
No,43,10798,25,3,Sales,Sales Executive,Divorced,Male,No,4,1076,1
Yes,20,2323,9,3,Sales,Sales Representative,Single,Female,Yes,4,1077,2
Yes,21,1416,10,3,Research & Development,Laboratory Technician,Single,Female,No,1,1079,1
No,46,4615,8,4,Research & Development,Research Scientist,Divorced,Female,Yes,1,1080,16
Yes,51,2461,4,4,Research & Development,Research Scientist,Married,Male,Yes,3,1081,10
Yes,28,8722,24,2,Research & Development,Healthcare Representative,Single,Male,No,1,1082,10
No,26,3955,1,2,Research & Development,Laboratory Technician,Married,Male,No,1,1083,5
No,30,9957,20,3,Research & Development,Manufacturing Director,Married,Male,No,1,1084,6
No,41,3376,7,2,Research & Development,Research Scientist,Married,Female,No,3,1085,10
No,38,8823,17,1,Research & Development,Healthcare Representative,Married,Female,No,3,1088,19
No,40,10322,20,4,Research & Development,Healthcare Representative,Married,Male,No,4,1092,11
No,27,4621,8,5,Research & Development,Laboratory Technician,Married,Male,No,3,1094,3
No,55,10976,2,1,Research & Development,Manufacturing Director,Married,Male,No,2,1096,3
No,28,3660,10,3,Research & Development,Research Scientist,Single,Female,No,3,1097,8
Yes,44,10482,1,2,Human Resources,Human Resources,Married,Male,No,1,1098,20
No,33,7119,5,3,Research & Development,Healthcare Representative,Divorced,Male,No,4,1099,3
Yes,35,9582,4,3,Sales,Sales Executive,Single,Male,Yes,1,1100,8
Yes,33,4508,29,4,Research & Development,Research Scientist,Single,Female,No,3,1101,13
No,28,2207,15,2,Research & Development,Laboratory Technician,Divorced,Male,No,3,1102,4
No,34,7756,3,1,Research & Development,Healthcare Representative,Single,Male,No,4,1103,6
No,37,6694,10,4,Sales,Sales Executive,Divorced,Female,Yes,4,1105,1
Yes,25,3691,4,1,Research & Development,Laboratory Technician,Married,Male,Yes,4,1106,7
Yes,26,2377,21,3,Research & Development,Laboratory Technician,Divorced,Male,No,3,1107,1
Yes,33,2313,25,3,Research & Development,Research Scientist,Single,Male,Yes,2,1108,2
No,42,17665,2,2,Research & Development,Manager,Married,Male,No,1,1109,22
Yes,28,2596,1,3,Research & Development,Laboratory Technician,Divorced,Male,No,2,1111,1
Yes,50,4728,1,4,Sales,Sales Executive,Single,Male,Yes,3,1113,0
No,33,4302,7,3,Sales,Sales Executive,Married,Female,No,2,1114,3
No,34,2979,3,4,Research & Development,Research Scientist,Married,Male,No,4,1115,0
No,48,16885,1,4,Research & Development,Manager,Single,Male,No,4,1116,5
No,45,5593,9,4,Sales,Sales Executive,Married,Female,No,3,1117,15
No,52,10445,7,4,Research & Development,Healthcare Representative,Single,Male,No,2,1118,8
No,38,8740,10,4,Sales,Sales Executive,Divorced,Male,Yes,3,1119,8
No,29,2514,28,4,Research & Development,Research Scientist,Divorced,Female,No,4,1120,7
No,28,7655,3,3,Research & Development,Manufacturing Director,Divorced,Female,No,2,1121,9
No,46,17465,3,1,Sales,Manager,Married,Male,No,3,1124,12
No,38,7351,2,2,Sales,Sales Executive,Single,Male,No,2,1125,1
No,43,10820,27,3,Research & Development,Manufacturing Director,Married,Female,No,1,1126,8
Yes,39,12169,2,3,Research & Development,Healthcare Representative,Divorced,Male,No,4,1127,18
No,40,19626,14,3,Research & Development,Research Director,Single,Male,No,3,1128,20
No,21,2070,1,1,Research & Development,Research Scientist,Single,Female,Yes,2,1131,2
No,39,6782,9,3,Research & Development,Laboratory Technician,Single,Male,No,2,1132,5
No,36,7779,18,4,Research & Development,Manufacturing Director,Single,Male,No,4,1133,11
No,31,2791,20,3,Sales,Sales Representative,Married,Male,No,4,1135,2
No,28,3201,2,1,Research & Development,Research Scientist,Married,Male,No,2,1136,5
No,35,4968,11,2,Sales,Sales Executive,Divorced,Male,No,4,1137,5
No,49,13120,8,4,Sales,Sales Executive,Married,Male,No,2,1138,9
No,34,4033,2,2,Research & Development,Manufacturing Director,Single,Male,No,3,1140,3
No,29,3291,10,3,Research & Development,Research Scientist,Divorced,Female,No,2,1143,7
No,42,4272,29,3,Research & Development,Laboratory Technician,Single,Male,No,4,1148,1
No,29,5056,8,1,Research & Development,Manufacturing Director,Married,Male,Yes,4,1150,10
No,38,2844,1,3,Human Resources,Human Resources,Married,Male,No,3,1152,7
No,28,2703,6,3,Research & Development,Research Scientist,Divorced,Male,Yes,3,1154,3
Yes,18,1904,8,1,Research & Development,Laboratory Technician,Single,Male,No,3,1156,0
Yes,33,8224,9,4,Sales,Sales Executive,Single,Female,Yes,1,1157,5
No,41,4766,12,4,Research & Development,Laboratory Technician,Married,Male,Yes,4,1158,1
Yes,31,2610,15,3,Research & Development,Laboratory Technician,Married,Male,No,3,1160,2
No,37,5731,25,2,Research & Development,Healthcare Representative,Divorced,Female,No,4,1161,6
No,27,2539,6,3,Research & Development,Research Scientist,Married,Male,No,3,1162,4
No,34,5714,9,1,Sales,Sales Executive,Married,Female,No,3,1163,6
No,35,4323,8,4,Human Resources,Human Resources,Single,Male,No,3,1164,5
Yes,29,7336,23,1,Sales,Sales Executive,Married,Female,No,1,1165,11
No,40,13499,9,4,Research & Development,Research Director,Single,Female,No,3,1166,18
Yes,42,13758,12,3,Sales,Sales Executive,Single,Male,Yes,1,1167,21
No,42,5155,4,4,Sales,Sales Executive,Single,Male,No,1,1171,6
No,35,2258,1,4,Research & Development,Laboratory Technician,Married,Male,No,3,1172,8
No,24,3597,24,3,Research & Development,Laboratory Technician,Single,Male,No,2,1173,4
Yes,28,2515,12,1,Research & Development,Laboratory Technician,Married,Female,Yes,4,1175,1
No,26,4420,3,4,Research & Development,Laboratory Technician,Married,Male,No,4,1177,8
No,30,6578,10,3,Sales,Sales Executive,Married,Male,No,3,1179,10
No,40,4422,26,2,Research & Development,Research Scientist,Married,Female,Yes,4,1180,1
No,35,10274,2,3,Research & Development,Manufacturing Director,Divorced,Male,No,2,1182,7
No,34,5343,1,3,Research & Development,Healthcare Representative,Single,Male,No,1,1184,13
No,35,2376,4,4,Research & Development,Laboratory Technician,Married,Male,No,4,1185,2
Yes,43,5346,9,3,Sales,Sales Executive,Single,Female,No,3,1188,4
No,32,2827,2,1,Sales,Sales Representative,Divorced,Female,No,1,1190,1
No,56,19943,4,4,Research & Development,Manager,Divorced,Female,No,1,1191,5
No,29,3131,6,1,Research & Development,Laboratory Technician,Married,Female,No,4,1192,10
No,19,2552,9,2,Research & Development,Research Scientist,Single,Male,No,1,1193,1
No,45,4477,7,3,Research & Development,Research Scientist,Married,Female,Yes,3,1195,3
No,37,6474,1,3,Research & Development,Manufacturing Director,Married,Female,No,4,1196,14
No,20,3033,3,3,Research & Development,Laboratory Technician,Single,Male,No,3,1198,2
Yes,44,2936,10,4,Research & Development,Research Scientist,Single,Male,Yes,3,1200,6
No,53,18606,7,2,Research & Development,Manager,Divorced,Female,No,3,1201,7
No,29,2168,15,1,Research & Development,Research Scientist,Married,Female,Yes,4,1202,5
Yes,22,2853,3,4,Research & Development,Research Scientist,Married,Male,Yes,4,1203,0
No,46,17048,2,3,Sales,Manager,Married,Female,No,1,1204,26
No,44,2290,17,3,Research & Development,Research Scientist,Single,Male,No,3,1206,0
No,33,3600,2,3,Human Resources,Human Resources,Married,Male,No,3,1207,5
Yes,41,2107,5,2,Research & Development,Research Scientist,Divorced,Male,No,1,1210,1
No,30,4115,29,4,Sales,Sales Executive,Divorced,Male,No,1,1211,4
No,40,4327,2,4,Sales,Sales Executive,Married,Male,No,2,1212,0
No,50,17856,2,3,Research & Development,Manager,Married,Female,No,1,1215,2
No,28,3196,19,4,Research & Development,Laboratory Technician,Married,Male,No,1,1216,6
No,46,19081,15,2,Research & Development,Research Director,Married,Male,No,2,1217,4
No,35,8966,17,4,Sales,Sales Executive,Married,Male,Yes,1,1218,7
Yes,24,2210,17,2,Research & Development,Laboratory Technician,Married,Female,No,2,1219,1
No,33,4539,25,3,Sales,Sales Executive,Married,Female,No,3,1220,10
No,36,2741,6,4,Research & Development,Laboratory Technician,Divorced,Male,No,3,1221,7
No,30,3491,7,4,Research & Development,Laboratory Technician,Divorced,Male,No,3,1224,10
No,44,4541,29,4,Research & Development,Research Scientist,Single,Male,No,4,1225,20
No,20,2678,21,3,Sales,Sales Representative,Single,Male,No,4,1226,2
No,46,7379,2,4,Research & Development,Manufacturing Director,Divorced,Male,No,4,1228,6
No,42,6272,2,5,Human Resources,Human Resources,Married,Male,No,1,1231,4
No,60,5220,7,4,Sales,Sales Executive,Divorced,Male,Yes,4,1233,11
No,32,2743,13,3,Research & Development,Laboratory Technician,Married,Female,No,2,1234,2
No,32,4998,2,2,Research & Development,Research Scientist,Single,Female,Yes,3,1235,8
No,36,10252,1,3,Research & Development,Manufacturing Director,Divorced,Female,Yes,1,1237,7
No,33,2781,9,3,Research & Development,Research Scientist,Married,Male,No,4,1238,14
No,40,6852,10,3,Sales,Sales Executive,Divorced,Female,No,2,1239,5
No,25,4950,10,4,Sales,Sales Executive,Single,Male,No,4,1240,4
No,30,3579,1,3,Research & Development,Research Scientist,Married,Male,Yes,2,1241,11
No,42,13191,26,5,Research & Development,Research Director,Married,Female,Yes,1,1242,1
No,35,10377,8,2,Sales,Sales Executive,Married,Female,Yes,4,1243,13
No,27,2235,14,3,Research & Development,Research Scientist,Married,Male,Yes,1,1244,9
No,54,10502,1,4,Research & Development,Manufacturing Director,Divorced,Female,No,3,1245,5
No,44,2011,2,1,Research & Development,Research Scientist,Married,Female,No,4,1246,10
Yes,19,1859,10,3,Research & Development,Research Scientist,Single,Female,Yes,2,1248,1
No,29,3760,1,3,Research & Development,Research Scientist,Divorced,Female,No,4,1249,3
No,54,17779,3,3,Research & Development,Research Director,Married,Male,No,4,1250,10
No,31,6833,11,2,Research & Development,Healthcare Representative,Married,Male,Yes,1,1251,6
No,31,6812,24,3,Research & Development,Healthcare Representative,Single,Female,No,1,1252,10
No,59,5171,3,3,Sales,Sales Executive,Single,Female,No,4,1254,6
No,43,19740,3,3,Research & Development,Research Director,Married,Male,No,4,1255,8
No,49,18711,4,2,Research & Development,Manager,Married,Male,No,3,1256,1
No,36,3692,3,3,Research & Development,Research Scientist,Married,Male,No,2,1257,11
No,48,2559,2,2,Research & Development,Laboratory Technician,Single,Male,No,2,1258,1
No,27,2517,4,2,Research & Development,Research Scientist,Divorced,Male,No,3,1259,5
No,29,6623,7,3,Research & Development,Healthcare Representative,Divorced,Male,Yes,4,1260,6
No,48,18265,1,3,Research & Development,Research Director,Single,Male,No,4,1263,1
No,29,16124,1,3,Research & Development,Research Director,Divorced,Female,No,4,1264,7
No,34,2585,20,3,Research & Development,Research Scientist,Married,Female,No,3,1265,1
No,44,18213,5,3,Sales,Manager,Married,Male,No,2,1267,22
No,33,8380,10,5,Sales,Sales Executive,Divorced,Male,Yes,3,1268,9
No,19,2994,25,3,Research & Development,Research Scientist,Single,Female,Yes,4,1269,1
No,23,1223,1,2,Research & Development,Research Scientist,Married,Male,No,3,1270,1
Yes,25,1118,24,1,Sales,Sales Representative,Single,Male,Yes,4,1273,1
No,26,2875,4,2,Research & Development,Research Scientist,Single,Male,Yes,4,1275,8
Yes,45,18824,2,3,Sales,Manager,Single,Female,Yes,2,1277,24
No,55,13577,8,1,Research & Development,Healthcare Representative,Divorced,Male,Yes,2,1278,33
Yes,21,2625,10,2,Research & Development,Laboratory Technician,Single,Female,No,3,1279,2
No,46,18789,4,2,Sales,Manager,Married,Female,No,2,1280,11
No,34,4538,2,3,Sales,Sales Executive,Single,Female,Yes,1,1281,3
No,51,19847,9,3,Sales,Manager,Divorced,Male,Yes,2,1282,29
No,59,10512,18,4,Research & Development,Manufacturing Director,Single,Male,No,4,1283,9
No,34,4444,19,3,Research & Development,Laboratory Technician,Divorced,Female,No,2,1285,11
No,28,2154,1,4,Research & Development,Laboratory Technician,Single,Male,Yes,3,1286,4
No,44,19190,4,2,Research & Development,Manager,Divorced,Male,No,1,1288,25
No,34,4490,11,3,Human Resources,Human Resources,Married,Male,No,2,1289,10
No,35,3506,6,1,Research & Development,Research Scientist,Married,Male,Yes,3,1291,3
No,42,2372,7,4,Research & Development,Research Scientist,Married,Female,Yes,2,1292,1
No,43,10231,4,4,Sales,Sales Executive,Single,Female,No,4,1293,21
No,36,5410,2,4,Research & Development,Manufacturing Director,Single,Female,Yes,2,1294,16
Yes,44,7978,15,3,Research & Development,Healthcare Representative,Married,Female,No,4,1295,10
No,28,3867,2,3,Research & Development,Laboratory Technician,Married,Male,Yes,4,1296,2
No,51,2838,6,2,Research & Development,Laboratory Technician,Single,Female,No,3,1297,7
No,30,4695,9,2,Research & Development,Manufacturing Director,Single,Female,Yes,3,1298,8
Yes,29,3339,7,3,Research & Development,Laboratory Technician,Divorced,Female,Yes,3,1299,7
No,28,2080,1,3,Research & Development,Research Scientist,Single,Male,No,1,1301,3
No,25,2096,1,3,Research & Development,Research Scientist,Single,Female,No,2,1303,2
No,32,6209,8,3,Sales,Sales Executive,Married,Male,No,4,1304,10
No,45,18061,25,3,Research & Development,Manager,Single,Female,No,2,1306,0
No,39,17123,13,4,Research & Development,Manager,Divorced,Female,Yes,2,1307,19
No,58,2372,23,4,Research & Development,Research Scientist,Divorced,Male,No,3,1308,2
Yes,32,4883,7,2,Research & Development,Laboratory Technician,Married,Male,No,3,1309,10
Yes,39,3904,23,3,Research & Development,Research Scientist,Single,Male,No,1,1310,5
No,30,4627,6,3,Research & Development,Laboratory Technician,Married,Female,No,4,1311,9
No,36,7094,10,4,Research & Development,Healthcare Representative,Married,Female,No,3,1312,7
No,46,3423,1,2,Human Resources,Human Resources,Single,Female,No,1,1314,7
No,28,6674,1,3,Research & Development,Laboratory Technician,Married,Female,No,4,1315,9
No,50,16880,28,3,Research & Development,Research Director,Married,Female,Yes,1,1317,3
Yes,40,9094,25,4,Sales,Sales Executive,Single,Male,Yes,2,1318,5
Yes,52,8446,5,3,Sales,Sales Executive,Single,Male,Yes,2,1319,8
No,30,11916,17,4,Research & Development,Manager,Married,Female,Yes,1,1321,9
No,39,4534,18,2,Research & Development,Manufacturing Director,Single,Male,No,3,1322,8
No,31,9852,2,4,Sales,Sales Executive,Divorced,Female,Yes,3,1324,10
No,41,6151,10,2,Sales,Sales Executive,Single,Male,No,2,1329,19
Yes,31,2302,1,3,Sales,Sales Representative,Single,Female,Yes,2,1331,3
Yes,44,2362,3,3,Research & Development,Laboratory Technician,Married,Male,No,1,1333,3
No,42,17861,2,1,Research & Development,Manager,Married,Male,Yes,3,1334,20
No,55,19187,2,2,Research & Development,Manager,Married,Female,No,3,1336,19
No,56,19717,8,4,Human Resources,Manager,Single,Male,No,2,1338,7
No,40,3544,16,2,Research & Development,Research Scientist,Divorced,Male,No,3,1340,4
No,34,8500,9,3,Research & Development,Healthcare Representative,Divorced,Male,No,4,1344,9
No,40,4661,2,3,Research & Development,Research Scientist,Single,Male,No,4,1346,9
No,41,4103,1,3,Sales,Sales Executive,Divorced,Female,No,1,1349,9
No,35,4249,4,4,Research & Development,Research Scientist,Single,Male,Yes,3,1350,9
No,51,14026,5,3,Human Resources,Manager,Divorced,Male,Yes,2,1352,33
No,38,6893,2,2,Sales,Sales Executive,Divorced,Female,No,1,1355,7
No,34,6125,15,2,Sales,Sales Executive,Single,Female,No,1,1356,10
No,25,3669,19,1,Research & Development,Laboratory Technician,Married,Male,No,4,1358,3
Yes,58,10008,7,4,Research & Development,Manufacturing Director,Married,Female,Yes,1,1360,10
No,40,2387,1,4,Research & Development,Laboratory Technician,Married,Male,No,2,1361,4
No,36,4639,7,3,Sales,Sales Executive,Married,Female,No,1,1362,15
No,48,7898,4,3,Research & Development,Manufacturing Director,Single,Male,No,4,1363,10
No,27,2534,11,3,Sales,Sales Representative,Married,Female,No,4,1364,1
No,51,13142,11,2,Research & Development,Manufacturing Director,Single,Female,No,2,1367,5
No,18,1611,1,3,Research & Development,Laboratory Technician,Single,Female,No,4,1368,0
No,35,5363,1,3,Research & Development,Laboratory Technician,Married,Female,No,4,1369,9
No,27,5071,2,1,Sales,Sales Executive,Single,Male,No,4,1371,6
Yes,55,13695,13,4,Sales,Sales Executive,Single,Male,Yes,3,1372,19
No,56,13402,23,3,Research & Development,Manufacturing Director,Married,Male,Yes,2,1373,19
No,34,2029,26,1,Research & Development,Research Scientist,Divorced,Female,No,3,1374,5
No,40,6377,2,1,Research & Development,Healthcare Representative,Divorced,Female,No,3,1375,12
No,34,5429,29,3,Research & Development,Laboratory Technician,Married,Male,No,3,1377,8
Yes,31,2785,2,3,Sales,Sales Representative,Single,Female,No,4,1379,1
Yes,35,4614,18,4,Sales,Sales Executive,Married,Female,Yes,3,1380,4
No,38,2610,7,3,Research & Development,Research Scientist,Divorced,Male,No,3,1382,4
No,34,6687,2,4,Research & Development,Healthcare Representative,Single,Female,No,4,1383,14
No,28,4724,26,3,Sales,Sales Executive,Married,Male,No,1,1387,5
Yes,31,6179,22,4,Research & Development,Manufacturing Director,Married,Male,Yes,3,1389,10
No,39,6120,21,4,Sales,Sales Executive,Married,Male,Yes,4,1390,5
No,51,10596,2,3,Sales,Sales Executive,Married,Male,No,2,1391,4
No,41,5467,22,3,Research & Development,Research Scientist,Divorced,Female,Yes,4,1392,6
No,37,2996,4,1,Research & Development,Research Scientist,Married,Male,Yes,3,1394,6
No,33,9998,5,1,Sales,Sales Executive,Married,Male,No,4,1395,5
No,32,4078,2,1,Sales,Sales Executive,Married,Male,Yes,2,1396,3
No,39,10920,25,2,Research & Development,Healthcare Representative,Married,Male,No,3,1397,6
No,25,6232,18,1,Sales,Sales Executive,Married,Male,No,3,1399,3
No,52,13247,28,2,Research & Development,Manufacturing Director,Married,Female,Yes,3,1401,5
No,43,4081,6,3,Research & Development,Research Scientist,Single,Female,Yes,3,1402,20
No,27,5769,10,3,Sales,Sales Executive,Married,Female,Yes,4,1403,6
Yes,27,2394,17,4,Research & Development,Research Scientist,Single,Female,Yes,3,1405,8
No,26,3904,2,1,Research & Development,Research Scientist,Single,Male,No,4,1407,4
No,42,16799,10,3,Human Resources,Manager,Married,Female,No,1,1408,20
No,52,2950,8,4,Research & Development,Laboratory Technician,Married,Female,No,1,1409,5
No,37,3629,11,3,Research & Development,Laboratory Technician,Single,Female,No,3,1411,3
No,35,9362,18,2,Research & Development,Manufacturing Director,Single,Male,No,4,1412,2
No,25,3229,1,3,Research & Development,Laboratory Technician,Married,Male,No,4,1415,3
No,26,3578,7,3,Research & Development,Laboratory Technician,Single,Male,No,1,1417,7
No,29,7988,17,3,Human Resources,Human Resources,Single,Male,No,1,1419,10
Yes,49,4284,28,2,Research & Development,Laboratory Technician,Single,Male,No,1,1420,4
Yes,29,7553,14,1,Research & Development,Healthcare Representative,Single,Female,Yes,4,1421,8
No,54,17328,1,3,Research & Development,Research Director,Single,Female,No,4,1422,20
No,58,19701,1,3,Research & Development,Research Director,Married,Female,Yes,1,1423,9
No,55,14732,1,4,Research & Development,Research Director,Divorced,Male,No,4,1424,7
No,36,9278,3,4,Sales,Sales Executive,Single,Female,Yes,2,1425,5
Yes,31,1359,1,4,Sales,Sales Representative,Single,Female,No,3,1427,1
No,30,4779,7,4,Sales,Sales Executive,Divorced,Female,No,1,1428,3
No,31,16422,8,5,Research & Development,Research Director,Single,Female,No,2,1430,3
No,34,2996,1,4,Research & Development,Research Scientist,Divorced,Male,No,1,1431,4
Yes,31,1261,8,3,Research & Development,Research Scientist,Single,Female,No,2,1433,1
No,27,2099,11,1,Research & Development,Laboratory Technician,Married,Male,No,1,1434,5
No,36,5810,4,4,Research & Development,Laboratory Technician,Single,Male,No,4,1435,10
No,36,5647,16,4,Sales,Sales Executive,Married,Female,No,1,1436,3
No,47,3420,1,3,Research & Development,Research Scientist,Married,Male,No,4,1438,6
Yes,25,4400,9,2,Sales,Sales Representative,Married,Male,No,1,1439,3
No,37,3500,5,2,Research & Development,Laboratory Technician,Single,Male,No,3,1440,6
No,56,2066,1,2,Research & Development,Research Scientist,Married,Female,No,1,1441,3
No,47,17169,2,4,Research & Development,Research Director,Married,Female,No,3,1443,20
No,24,4162,4,1,Sales,Sales Executive,Married,Female,Yes,3,1445,5
No,32,9204,7,5,Sales,Sales Executive,Married,Male,No,4,1446,4
No,34,3294,1,3,Research & Development,Laboratory Technician,Married,Female,No,2,1447,5
No,41,2127,5,5,Research & Development,Research Scientist,Married,Male,Yes,3,1448,4
No,40,3975,9,4,Research & Development,Laboratory Technician,Divorced,Male,No,3,1449,8
No,31,10793,8,2,Sales,Sales Executive,Divorced,Male,No,4,1453,13
Yes,46,10096,9,3,Sales,Sales Executive,Divorced,Male,No,4,1457,7
Yes,39,3646,2,3,Research & Development,Laboratory Technician,Single,Female,Yes,1,1458,1
Yes,31,7446,1,5,Research & Development,Manufacturing Director,Single,Female,No,2,1459,10
No,45,10851,20,3,Research & Development,Healthcare Representative,Divorced,Male,Yes,1,1460,7
No,31,2109,8,2,Human Resources,Human Resources,Single,Female,No,2,1461,3
Yes,31,3722,2,3,Research & Development,Laboratory Technician,Married,Male,Yes,4,1464,2
No,45,9380,29,3,Research & Development,Manufacturing Director,Married,Male,Yes,4,1465,3
No,48,5486,7,3,Sales,Sales Executive,Divorced,Male,No,1,1466,2
Yes,34,2742,9,4,Human Resources,Human Resources,Married,Female,No,3,1467,2
No,40,13757,8,1,Research & Development,Research Director,Divorced,Male,No,2,1468,9
No,28,8463,5,3,Sales,Sales Executive,Single,Male,No,1,1469,5
No,44,3162,5,3,Research & Development,Laboratory Technician,Single,Male,No,3,1471,5
No,53,16598,2,3,Research & Development,Research Director,Single,Male,No,2,1472,9
No,49,6651,5,4,Research & Development,Healthcare Representative,Married,Male,No,3,1473,3
No,40,2345,2,3,Research & Development,Research Scientist,Divorced,Male,No,3,1474,3
No,44,3420,20,3,Research & Development,Research Scientist,Single,Male,No,2,1475,5
No,33,4373,7,3,Sales,Sales Executive,Married,Male,No,1,1477,4
No,34,4759,3,3,Sales,Sales Executive,Single,Male,No,1,1478,13
No,30,5301,16,1,Sales,Sales Executive,Married,Male,No,3,1479,2
No,42,3673,9,2,Research & Development,Laboratory Technician,Single,Female,No,4,1480,12
No,44,4768,1,5,Sales,Sales Executive,Married,Female,No,3,1481,1
No,30,1274,7,3,Research & Development,Research Scientist,Divorced,Male,No,3,1482,1
No,57,4900,1,2,Research & Development,Research Scientist,Married,Male,No,3,1483,12
No,49,10466,7,4,Research & Development,Healthcare Representative,Divorced,Male,No,2,1484,8
